agency Feature Value
AGSO (pred-depth)/depth 5475.073297722498
AGSO NDP2.5m 2056.231230717851
AGSO year 1211.4524504891597
AGSO d10 776.0081675285473
AGSO depth 367.1443700157106
AGSO pred 321.238778346451
AGSO G:T 216.8807688942179
AGSO STD30m 145.90633598854765
AGSO sed 138.70898250956088
AGSO age 87.02650869381614
AGSO MED2.5m 83.0564879749436
AGSO roughness 82.84911093837582
AGSO NDP5m 79.05321017210372
AGSO NDP30m 77.69219306972809
AGSO lon 77.08130494109355
AGSO lat 74.21270284126513
AGSO STD10m 55.69006167259067
AGSO STD5m 36.79216162324883
AGSO STD2.5m 32.86458542314358
AGSO d60 32.38772015925497
AGSO rate 32.371778069995344
AGSO d20 27.62945223436691
AGSO D-MED30m/STD30m 22.710555679397658
AGSO NDP10m 22.20727331400849
AGSO MED30m 13.285643920768052
AGSO VGG 11.577612478286028
AGSO D-MED10m/STD10m 10.256669783731923
AGSO D-MED2.5m/STD2.5m 9.03753434959799
AGSO MED10m 7.5938439855817705
AGSO MED5m 6.927080971421674
AGSO D-MED5m/STD5m 3.260907462798059
AGSO kind 0.0
JAMSTEC (pred-depth)/depth 39292.99826493859
JAMSTEC d10 17248.359380807728
JAMSTEC year 7350.3782730437815
JAMSTEC sed 4969.318081520498
JAMSTEC d20 3893.7899914756417
JAMSTEC MED2.5m 3741.7001524567604
JAMSTEC lat 3362.68051597476
JAMSTEC lon 3241.2148225083947
JAMSTEC depth 3105.1153933256865
JAMSTEC age 1897.9067874327302
JAMSTEC pred 1747.0668548122048
JAMSTEC d60 1231.7245902605355
JAMSTEC G:T 1209.4010361358523
JAMSTEC rate 1033.8740964271128
JAMSTEC NDP30m 962.5037291608751
JAMSTEC D-MED2.5m/STD2.5m 955.4422913305461
JAMSTEC NDP5m 841.1725056990981
JAMSTEC roughness 781.4160817712545
JAMSTEC STD30m 734.9477008618414
JAMSTEC VGG 659.2650068551302
JAMSTEC NDP2.5m 605.5046591460705
JAMSTEC STD10m 486.94615183770657
JAMSTEC STD2.5m 441.7452897876501
JAMSTEC NDP10m 325.4456193372607
JAMSTEC STD5m 288.4705113172531
JAMSTEC MED30m 258.91643120348454
JAMSTEC MED10m 248.03166960179806
JAMSTEC D-MED10m/STD10m 192.17721612751484
JAMSTEC D-MED5m/STD5m 139.88169313967228
JAMSTEC D-MED30m/STD30m 106.16447438299656
JAMSTEC MED5m 78.50613134354353
JAMSTEC kind 0.0
NGA (pred-depth)/depth 44713.88902062923
NGA D-MED2.5m/STD2.5m 7137.555767633021
NGA depth 6328.996488817036
NGA d10 5738.717781983316
NGA NDP2.5m 3242.8655983805656
NGA STD2.5m 3136.5400084853172
NGA pred 2795.556401744485
NGA MED2.5m 1341.2493121922016
NGA lat 1314.4646211117506
NGA lon 1158.7763516902924
NGA age 896.5980072915554
NGA d20 812.8702860623598
NGA sed 662.8017349094152
NGA MED5m 610.1734799519181
NGA G:T 524.5719968825579
NGA D-MED5m/STD5m 447.8629103600979
NGA roughness 330.49496088922024
NGA NDP30m 266.75924288481474
NGA D-MED10m/STD10m 230.7989748865366
NGA d60 227.72992612421513
NGA NDP5m 201.51064366847277
NGA rate 196.87535606324673
NGA NDP10m 181.61831887066364
NGA MED10m 164.25367957353592
NGA STD30m 164.05518867075443
NGA D-MED30m/STD30m 147.8983600884676
NGA MED30m 134.6007641106844
NGA VGG 105.11844113469124
NGA STD5m 72.75160280615091
NGA STD10m 60.24966202676296
NGA year 0.0
NGA kind 0.0
NGDC pred 29654.88956555724
NGDC lat 15540.183190762997
NGDC year 14557.384656086564
NGDC lon 14306.555800691247
NGDC sed 13823.575201615691
NGDC (pred-depth)/depth 13498.659064918756
NGDC d10 10657.914036527276
NGDC age 9888.024140551686
NGDC NDP2.5m 7055.0668364316225
NGDC d60 6395.9503662884235
NGDC rate 3859.967339321971
NGDC d20 3293.2474340498447
NGDC D-MED2.5m/STD2.5m 2945.648163408041
NGDC G:T 2137.747710376978
NGDC roughness 1576.6263692080975
NGDC kind 1458.0399842113256
NGDC MED2.5m 1438.0931565761566
NGDC NDP30m 1355.2549924254417
NGDC STD30m 1040.4433312416077
NGDC MED30m 964.2009653151035
NGDC depth 951.3749305009842
NGDC NDP5m 445.2959727048874
NGDC NDP10m 418.73908787965775
NGDC STD10m 411.9554001390934
NGDC D-MED30m/STD30m 333.0406406521797
NGDC D-MED5m/STD5m 239.60848465561867
NGDC MED5m 222.92843666672707
NGDC VGG 212.24228462576866
NGDC STD2.5m 207.5326783210039
NGDC D-MED10m/STD10m 178.39647379517555
NGDC STD5m 162.97503218054771
NGDC MED10m 56.05808684229851
NOAA_geodas (pred-depth)/depth 80953.6450637281
NOAA_geodas d10 37342.42905977368
NOAA_geodas year 13546.560957163572
NOAA_geodas lat 10820.769067704678
NOAA_geodas lon 9988.157349944115
NOAA_geodas STD2.5m 9594.632107406855
NOAA_geodas pred 8998.20918905735
NOAA_geodas depth 6804.722750365734
NOAA_geodas D-MED2.5m/STD2.5m 3896.5392302572727
NOAA_geodas age 3770.1138196587563
NOAA_geodas sed 3467.4190207123756
NOAA_geodas d20 3404.32166659832
NOAA_geodas NDP2.5m 2313.118525415659
NOAA_geodas G:T 2210.523312151432
NOAA_geodas rate 2053.8542795181274
NOAA_geodas d60 1536.035990089178
NOAA_geodas MED2.5m 1477.0436592400074
NOAA_geodas roughness 1232.3246118426323
NOAA_geodas NDP30m 1067.2427995800972
NOAA_geodas STD10m 863.0245622098446
